QuestionID;Question;Answer;Topic;Year;Difficulty;Explanation
116;What is 4 * 8?;32;Multiplication;Primary;Medium;Multiply 4 and 8 to get 32.
117;What is 8 * 3?;24;Multiplication;Primary;Medium;Multiply 8 and 3 to get 24.
118;What is 11 * 1?;11;Multiplication;Primary;Medium;Multiply 11 and 1 to get 11.
119;What is 19 * 18?;342;Multiplication;Primary;Medium;Multiply 19 and 18 to get 342.
120;What is 8 * 19?;152;Multiplication;Primary;Medium;Multiply 8 and 19 to get 152.
121;What is 8 * 1?;8;Multiplication;Primary;Medium;Multiply 8 and 1 to get 8.
122;What is 3 * 2?;6;Multiplication;Primary;Medium;Multiply 3 and 2 to get 6.
123;What is 8 * 3?;24;Multiplication;Primary;Medium;Multiply 8 and 3 to get 24.
124;What is 2 * 11?;22;Multiplication;Primary;Medium;Multiply 2 and 11 to get 22.
125;What is 3 * 17?;51;Multiplication;Primary;Medium;Multiply 3 and 17 to get 51.
126;What is 8 * 9?;72;Multiplication;Primary;Medium;Multiply 8 and 9 to get 72.
127;What is 16 * 7?;112;Multiplication;Primary;Medium;Multiply 16 and 7 to get 112.
128;What is 18 * 5?;90;Multiplication;Primary;Medium;Multiply 18 and 5 to get 90.
129;What is 19 * 19?;361;Multiplication;Primary;Medium;Multiply 19 and 19 to get 361.
130;What is 16 * 8?;128;Multiplication;Primary;Medium;Multiply 16 and 8 to get 128.
131;What is 16 * 14?;224;Multiplication;Primary;Hard;Multiply 16 and 14 to get 224.
132;What is 7 * 4?;28;Multiplication;Primary;Hard;Multiply 7 and 4 to get 28.
133;What is 4 * 14?;56;Multiplication;Primary;Hard;Multiply 4 and 14 to get 56.
134;What is 12 * 14?;168;Multiplication;Primary;Hard;Multiply 12 and 14 to get 168.
135;What is 14 * 15?;210;Multiplication;Primary;Hard;Multiply 14 and 15 to get 210.
136;What is 2 * 4?;8;Multiplication;Primary;Hard;Multiply 2 and 4 to get 8.
137;What is 2 * 13?;26;Multiplication;Primary;Hard;Multiply 2 and 13 to get 26.
138;What is 11 * 4?;44;Multiplication;Primary;Hard;Multiply 11 and 4 to get 44.
139;What is 8 * 7?;56;Multiplication;Primary;Hard;Multiply 8 and 7 to get 56.
140;What is 7 * 18?;126;Multiplication;Primary;Hard;Multiply 7 and 18 to get 126.
141;What is 15 * 5?;75;Multiplication;Primary;Hard;Multiply 15 and 5 to get 75.
142;What is 14 * 6?;84;Multiplication;Primary;Hard;Multiply 14 and 6 to get 84.
143;What is 9 * 15?;135;Multiplication;Primary;Hard;Multiply 9 and 15 to get 135.
144;What is 8 * 3?;24;Multiplication;Primary;Hard;Multiply 8 and 3 to get 24.
145;What is 15 * 18?;270;Multiplication;Primary;Hard;Multiply 15 and 18 to get 270.
146;What is 4 * 2?;8;Multiplication;Primary;Hard;Multiply 4 and 2 to get 8.
147;What is 18 * 1?;18;Multiplication;Primary;Hard;Multiply 18 and 1 to get 18.
148;What is 3 * 8?;24;Multiplication;Primary;Hard;Multiply 3 and 8 to get 24.
149;What is 6 * 14?;84;Multiplication;Primary;Hard;Multiply 6 and 14 to get 84.
150;What is 16 * 16?;256;Multiplication;Primary;Hard;Multiply 16 and 16 to get 256.
151;What is 37 / 7?;5;Division;Primary;Easy;Divide 37 by 7 to get 5.
152;What is 17 / 3?;5;Division;Primary;Easy;Divide 17 by 3 to get 5.
153;What is 58 / 1?;58;Division;Primary;Easy;Divide 58 by 1 to get 58.
154;What is 59 / 5?;11;Division;Primary;Easy;Divide 59 by 5 to get 11.
155;What is 68 / 5?;13;Division;Primary;Easy;Divide 68 by 5 to get 13.
156;What is 64 / 9?;7;Division;Primary;Easy;Divide 64 by 9 to get 7.
157;What is 94 / 8?;11;Division;Primary;Easy;Divide 94 by 8 to get 11.
158;What is 29 / 4?;7;Division;Primary;Easy;Divide 29 by 4 to get 7.
159;What is 47 / 4?;11;Division;Primary;Easy;Divide 47 by 4 to get 11.
160;What is 17 / 10?;1;Division;Primary;Easy;Divide 17 by 10 to get 1.
161;What is 79 / 1?;79;Division;Primary;Medium;Divide 79 by 1 to get 79.
162;What is 50 / 1?;50;Division;Primary;Medium;Divide 50 by 1 to get 50.
163;What is 16 / 10?;1;Division;Primary;Medium;Divide 16 by 10 to get 1.
164;What is 71 / 9?;7;Division;Primary;Medium;Divide 71 by 9 to get 7.
165;What is 77 / 3?;25;Division;Primary;Medium;Divide 77 by 3 to get 25.
166;What is 17 / 9?;1;Division;Primary;Medium;Divide 17 by 9 to get 1.
167;What is 20 / 3?;6;Division;Primary;Medium;Divide 20 by 3 to get 6.
168;What is 18 / 10?;1;Division;Primary;Medium;Divide 18 by 10 to get 1.
169;What is 18 / 4?;4;Division;Primary;Medium;Divide 18 by 4 to get 4.
170;What is 61 / 2?;30;Division;Primary;Medium;Divide 61 by 2 to get 30.
171;What is 82 / 4?;20;Division;Primary;Medium;Divide 82 by 4 to get 20.
172;What is 84 / 10?;8;Division;Primary;Medium;Divide 84 by 10 to get 8.
173;What is 15 / 10?;1;Division;Primary;Medium;Divide 15 by 10 to get 1.
174;What is 20 / 7?;2;Division;Primary;Medium;Divide 20 by 7 to get 2.
175;What is 94 / 10?;9;Division;Primary;Medium;Divide 94 by 10 to get 9.
176;What is 82 / 9?;9;Division;Primary;Medium;Divide 82 by 9 to get 9.
177;What is 50 / 5?;10;Division;Primary;Medium;Divide 50 by 5 to get 10.
178;What is 36 / 6?;6;Division;Primary;Medium;Divide 36 by 6 to get 6.
179;What is 40 / 5?;8;Division;Primary;Medium;Divide 40 by 5 to get 8.
180;What is 60 / 3?;20;Division;Primary;Medium;Divide 60 by 3 to get 20.
181;What is 95 / 5?;19;Division;Primary;Hard;Divide 95 by 5 to get 19.
182;What is 68 / 6?;11;Division;Primary;Hard;Divide 68 by 6 to get 11.
183;What is 19 / 1?;19;Division;Primary;Hard;Divide 19 by 1 to get 19.
184;What is 68 / 10?;6;Division;Primary;Hard;Divide 68 by 10 to get 6.
185;What is 82 / 2?;41;Division;Primary;Hard;Divide 82 by 2 to get 41.
186;What is 19 / 9?;2;Division;Primary;Hard;Divide 19 by 9 to get 2.
187;What is 37 / 9?;4;Division;Primary;Hard;Divide 37 by 9 to get 4.
188;What is 43 / 3?;14;Division;Primary;Hard;Divide 43 by 3 to get 14.
189;What is 54 / 2?;27;Division;Primary;Hard;Divide 54 by 2 to get 27.
190;What is 41 / 6?;6;Division;Primary;Hard;Divide 41 by 6 to get 6.
191;What is 46 / 3?;15;Division;Primary;Hard;Divide 46 by 3 to get 15.
192;What is 66 / 9?;7;Division;Primary;Hard;Divide 66 by 9 to get 7.
193;What is 100 / 5?;20;Division;Primary;Hard;Divide 100 by 5 to get 20.
194;What is 88 / 9?;9;Division;Primary;Hard;Divide 88 by 9 to get 9.
195;What is 11 / 9?;1;Division;Primary;Hard;Divide 11 by 9 to get 1.
196;What is 48 / 2?;24;Division;Primary;Hard;Divide 48 by 2 to get 24.
197;What is 27 / 5?;5;Division;Primary;Hard;Divide 27 by 5 to get 5.
198;What is 24 / 2?;12;Division;Primary;Hard;Divide 24 by 2 to get 12.
199;What is 80 / 3?;26;Division;Primary;Hard;Divide 80 by 3 to get 26.
200;What is 44 / 5?;8;Division;Primary;Hard;Divide 44 by 5 to get 8.
